Category,Condition,distilBERT,gBERT,N
SUBJECT-VERB AGREEMENT,Simple Sentence,0.9710,0.9420,69
SUBJECT-VERB AGREEMENT,In a sentential complement,0.9565,0.9894,2160
SUBJECT-VERB AGREEMENT,Short VP coordination,0.7125,0.7542,240
SUBJECT-VERB AGREEMENT,Medium VP coordination,0.4813,0.6188,480
SUBJECT-VERB AGREEMENT,Long VP coordination,0.5167,0.5938,480
SUBJECT-VERB AGREEMENT,Across a PP,0.7968,0.9005,2160
SUBJECT-VERB AGREEMENT,Across a subject relative clause,0.6924,0.9896,1440
SUBJECT-VERB AGREEMENT,Across an object relative clause,0.7386,0.9206,945
SUBJECT-VERB AGREEMENT,In an object relative clause,0.9568,0.9600,1575
SUBJECT-VERB AGREEMENT,With a modifier,0.9458,0.9959,240
SUBJECT-VERB AGREEMENT,With an extended modifier,0.8917,0.9583,480
SUBJECT-VERB AGREEMENT,Pre-field,0.73,0.7987,348
REFLEXIVE ANAPHORA,Person & number agreement,0.4876,0.8716,1737
REFLEXIVE ANAPHORA,Case agreement,0.8534,0.9691,648
