Phenomenon,Goldfish5MB,Goldfish10MB,Goldfish100MB,Goldfish1000MB,BERTurk,cosmosGPT,Gemma3,Qwen2.5,Llama3.1,AyaExpanse,Gemma2,EuroLLM,Gemma3
Anaphor-Agreement,42.0,44.4,69.9,90.8,97.7,93.0,92.1,83.2,89.5,88.5,89.8,94.1,93.2
Argument-Str.-Tran.,56.1,50.6,87.9,98.3,99.1,99.3,96.5,82.5,91.3,92.8,92.2,97.6,99.1
Argument-Str.-Ditr.,65.3,53.2,82.5,92.3,96.1,98.0,96.6,91.7,89.6,94.6,96.8,96.7,97.6
Binding,21.1,25.8,63.3,92.3,99.0,99.2,96.5,91.0,97.1,95.6,97.9,98.6,98.2
Determiners,18.1,25.9,72.5,94.3,99.3,94.2,87.9,75.4,80.1,86.7,91.7,93.3,96.1
Ellipsis,33.0,30.2,68.0,14.9,87.5,40.2,60.5,43.6,63.8,62.7,57.5,73.2,70.4
Irregular-Forms,100.0,100.0,100.0,100.0,99.6,100.0,100.0,100.0,100.0,99.4,99.9,100.0,100.0
Island-Effects,93.7,92.8,81.0,78.0,51.2,89.8,75.4,86.0,78.3,72.5,75.8,79.3,75.5
Nominalization,66.4,73.9,90.8,93.3,97.4,97.0,94.9,94.0,95.3,92.4,95.9,95.2,96.6
NPI-Licensing,93.4,94.3,91.9,98.1,95.0,98.5,97.7,94.0,95.4,96.9,97.1,96.9,98.1
Passives,100.0,100.0,99.9,99.9,81.3,99.4,100.0,100.0,99.6,98.8,99.5,99.7,99.9
Quantifiers,99.0,99.0,99.0,98.9,98.4,99.0,99.0,98.4,98.5,98.0,98.7,98.9,99.0
Relative-Clauses,48.3,49.4,76.7,82.0,98.5,93.0,82.4,71.2,80.3,80.6,80.7,83.9,81.5
Scrambling,74.1,86.6,99.6,99.9,100.0,99.7,99.0,99.9,98.2,98.8,100.0,100.0,100.0
SV-PN,44.4,41.5,84.1,94.8,98.8,97.5,89.1,82.8,84.8,91.7,90.6,93.7,92.7
Suspended-Affixation,57.2,64.8,93.8,98.3,100.0,99.6,99.8,97.5,98.2,98.9,99.5,99.7,100.0
Model-Average,63.3,64.5,85.1,89.1,93.7,93.6,91.7,87.0,90.0,90.6,91.5,93.8,93.6
Human-Correlation,-0.30,-0.30,0.01,0.16,0.65,0.25,0.16,-0.07,-0.01,0.25,0.09,0.17,0.17
Parameter-Count,39M,39M,125M,125M,185M,774M,4B,7B,8B,8B,9B,9B,12B
