Model,Overall,Classifier,Verb-complement,NP-head-finality,ba,Coverb,anafor-agreement,Passive,Binding,Filler-Gap
Human,95.8,99.7,96.0,100.0,85.0,92.5,94.5,91.0,99.0,100.0
Chinese-BERT,81.8,92.9,93.0,53.1,69.0,87.9,86.2,67.7,50.8,62.4
LSTM-21.5M-word,62.8,75.7,74.0,81.4,10.0,47.0,63.1,68.4,50.1,41.5
LSTM-21.5M-char,60.7,56.1,64.9,89.1,32.1,43.2,57.0,67.9,50.0,68.8
LSTM-2M-word,66.0,77.8,73.8,75.0,48.4,43.4,67.0,68.0,50.0,59.2
LSTM-2M-char,60.4,68.4,68.1,86.3,29.0,28.5,68.1,68.4,50.1,61.9
LSTM-2M-word,60.6,69.9,65.4,70.3,41.1,38.8,66.3,72.7,50.0,55.2
LSTM-2M-char,63.2,68.9,69.7,83.9,25.0,45.6,67.7,74.3,50.0,64.4
5-gram-2M-word,59.0,70.1,71,55.2,15.6,39.2,67.7,72.0,49.6,40.0
5-gram-2M-char,65.7,70.6,78.8,68.3,30.6,53.9,65.8,64.8,51.6,57.3
5-gram-0.4M-word,55.9,66.4,69.5,46.3,6.0,37.0,69.1,77.8,49.1,25.2
5-gram–0.4M-char,60.0,71.5,65.4,70.5,19.3,46.5,68.8,68.7,50.2,48.4
