Phenomenon,human,lstm,gpt2-zh,CPM,PanGu,bert-base-zh,pert-base,pert-large,mengzi-base,mengzi-base-fin,ernie,xlm-R-base,xlm-R-large,bert-base-multi,mt5-small,mt5-large,byt5-small,byt5-large,gpt3
Alternative question,97.3,13.5,47.4,85.8,10.0,93.1,89.8,79.2,75.6,73.0,94.3,53.1,56.9,6.5,45.3,10.3,25.9,55.1,14.9
Anaphor (gender),98.5,74.9,67.5,71.1,99.0,88.3,60.8,50.3,92.2,89.3,81.6,59.5,61.0,82.5,50.6,37.7,53.9,37.7,63.2
Anaphor (number),96.5,99.6,100,92.3,0.0,99.9,99.8,98.8,80.3,75.5,99.5,95.2,85.2,94.7,27.3,7.3,93.6,73.0,99.9
Classifier-noun,96.4,79.9,85.7,52.7,74.8,95.3,94.9,82.2,93.9,93.5,94.4,87.1,90.2,87.5,68.0,84.3,52.7,53.0,89.1
Aspect,97.6,52.4,71.9,61.2,55.8,84.1,81.6,68.4,76.3,78.3,74.3,54.1,68.9,45.0,49.8,65.1,55.3,50.9,71.5
Definiteness effect,96.8,97.0,99.4,70.4,68.5,96.4,95.4,73.9,96.6,96.1,88.7,63.5,72.8,94.1,72.2,49.0,14.2,9.0,81.5
Polarity item,92.0,90.3,86.0,78.9,79.6,72.0,90.4,94.7,97.9,98.2,81.3,96.5,96.5,44.2,78.2,81.6,59.5,62.9,85.9
Relative clause,99.1,72.1,44.9,50.4,14.3,34.2,38.0,89.3,18.9,13.1,33.1,43.7,48.7,13.2,42.2,50.2,2.8,18.3,65.2
wh fronting,100,100,99.7,93.7,94.3,99.8,99.8,99.6,99.8,99.4,99.8,97.4,99.4,67.8,81.1,98.6,13.1,44.7,100
Average over phenomena,97.1,75.5,78.0,72.9,55.1,84.8,83.4,81.8,81.3,79.6,83.0,72.2,75.4,59.5,57.2,53.8,41.2,45.0,74.6
