Citation,Year,Method,Languages,EvalType,NumExamples,IsMultilingual,Agreement,Derivation,Inflection,TAME,Word formation,Determiners,Pronouns,Classifiers,Ergativity,Word order,Argument Structure,Adjuncts,Passive,Copula,Negation,Comparison,Interrogatives,Ellipsis,Coordination,Relative Clauses,Complex clauses,control&raising,Movement,Island Effects,Filler-Gap,Topicalization,Particles,Coverbs,Quantifiers,NPIs,Binding
"Adeeba et al., (2025)",2025,['Template-based perturbation over annotated data'],['Urdu'],['Minimal pairs'],5696,False,check,,,,,,,,check,check,,check,,,,,,,,check,,,,,,,,,,,
"Algayres et al., 2025",2025,['Semi-automatically'],['English'],[],,False,check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alrajhi et al., (2022)",2022,['Expert-written'],['Arabic'],['Minimal pairs'],3000,False,check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anh et al., (2024)",2024,['Translation'],"['Vietnamese', 'French', 'Spanish', 'Romanian', 'Portuguese', 'German']",['Nonce'],,True,,check,check,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barbini et al., 2025",2025,"['Template-based generation', 'Translation']",['Italian'],['Minimal pairs'],2899,False,check,,,,,,,,,,,,,,,,,,,,,,,check,check,,,,check,,
"Başar et al., (2025)",2025,['Semi-automatically'],['Turkish'],['Minimal pairs'],16000,False,check,check,,,,check,,,,check,check,,check,,,,,check,,check,,,,check,,,,,check,,check
"Cavar et al., 2024",2024,"['Expert-written', 'Extracted from articles']","['Arabic', 'English', 'Gujarati\xa0', 'Japanese\xa0', 'Kumaoni', 'Navajo', 'Polish', 'Spanish', 'Telugu', 'Croatian', 'German', 'Hindi', 'Korean', 'Mandarin Chinese', 'Norwegian', 'Russian', 'Swedish', 'Ukrainian']",['Prompting'],1907,True,,,,,,,,,,,,,,,,,,check,,,,,,,,,,,,,
"DeCarlo et al., (2023)",2023,['Expert-written'],['English'],['Minimal pairs'],576,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,check,
"Dentella et al., (2023)",2023,['Extracted from articles'],['english'],['Prompting'],80,False,check,,,,,,,,,check,,,,,,check,,,,check,,,,,,,,,,,check
"Gallagher et al., (2025)",2025,['tree-bank-based'],['Georgian'],['Minimal pairs'],370,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hale et al., (2024)",2024,['Template-based perturbation over annotated data'],"['Basque', 'German', 'Hungarian', 'Russian', 'Serbian']",['Minimal pairs'],,True,,,,,,,,,,check,,,,,,,,,,,,,,,,,,,,,
